epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,828.516,0.74811,0.8411,1.20934,0.55314,0.58093,0.5872,0.43023,1.48588,1.92789,2.05263,0.000396265,0.000396265,0.000396265
43,843.621,0.72895,0.86813,1.20056,0.55134,0.56212,0.54194,0.42675,1.4447,2.08202,2.02883,0.000389661,0.000389661,0.000389661
44,860.668,0.72951,0.87677,1.21333,0.67926,0.5002,0.5643,0.42339,1.56673,2.1838,2.22934,0.000383058,0.000383058,0.000383058
45,876.543,0.73038,0.81709,1.20029,0.66105,0.54444,0.60087,0.46716,1.49765,1.82437,2.09196,0.000376455,0.000376455,0.000376455
46,893.353,0.68042,0.78901,1.17533,0.61255,0.55017,0.6251,0.48823,1.44207,1.89565,2.05444,0.000369851,0.000369851,0.000369851
47,908.284,0.70101,0.81747,1.19788,0.66366,0.49694,0.56478,0.43669,1.50691,1.99179,2.12204,0.000363248,0.000363248,0.000363248
48,924.993,0.66826,0.77989,1.15477,0.70817,0.51798,0.54566,0.40707,1.44794,2.2525,2.01917,0.000356645,0.000356645,0.000356645
49,939.514,0.6849,0.77513,1.19333,0.5085,0.58505,0.58887,0.44569,1.44041,1.91586,2.04758,0.000350042,0.000350042,0.000350042
50,956.734,0.70971,0.80813,1.1986,0.64767,0.52948,0.58723,0.4431,1.43024,1.9062,2.09757,0.000343438,0.000343438,0.000343438
51,971.809,0.68561,0.7636,1.18208,0.56511,0.55301,0.57951,0.42424,1.45755,1.84873,2.0864,0.000336835,0.000336835,0.000336835
52,987.352,0.68155,0.78038,1.18001,0.67829,0.43465,0.57402,0.44005,1.55702,1.89734,2.15872,0.000330232,0.000330232,0.000330232
53,1001.66,0.68783,0.75386,1.17988,0.47216,0.55876,0.55846,0.40535,1.4635,2.21969,2.03837,0.000323628,0.000323628,0.000323628
54,1015.47,0.67099,0.75765,1.16287,0.6573,0.56216,0.57934,0.43737,1.49417,2.07324,2.17728,0.000317025,0.000317025,0.000317025
55,1030.36,0.67276,0.73529,1.16849,0.52729,0.62492,0.5987,0.44309,1.45039,1.89869,2.08632,0.000310422,0.000310422,0.000310422
56,1049.4,0.66687,0.74817,1.16833,0.56405,0.57671,0.57658,0.42407,1.4713,2.05635,2.14943,0.000303818,0.000303818,0.000303818
57,1074.46,0.68198,0.77077,1.18693,0.60148,0.57357,0.56785,0.41642,1.49877,2.01311,2.14122,0.000297215,0.000297215,0.000297215
58,1102.56,0.6395,0.74606,1.15581,0.75725,0.5736,0.64534,0.49078,1.46448,1.85601,2.07208,0.000290612,0.000290612,0.000290612
59,1126.34,0.64448,0.71008,1.15976,0.73487,0.56173,0.62581,0.47424,1.50863,1.89693,2.07467,0.000284009,0.000284009,0.000284009
60,1150.02,0.64582,0.70554,1.14049,0.70265,0.54411,0.61286,0.47534,1.51654,2.02963,2.14185,0.000277405,0.000277405,0.000277405
61,1173.7,0.62084,0.6738,1.11901,0.58373,0.57862,0.63749,0.47093,1.47303,1.69011,2.14774,0.000270802,0.000270802,0.000270802
62,1199.4,0.5996,0.65706,1.10759,0.50639,0.64068,0.63409,0.45077,1.50475,1.78339,2.16019,0.000264199,0.000264199,0.000264199
63,1223.45,0.60402,0.66231,1.11503,0.77253,0.50703,0.60134,0.44784,1.55724,2.02725,2.25038,0.000257595,0.000257595,0.000257595
64,1249.14,0.62041,0.68875,1.12942,0.69371,0.50896,0.60228,0.43949,1.49088,1.94943,2.23224,0.000250992,0.000250992,0.000250992
65,1274.56,0.61179,0.65318,1.1106,0.67944,0.52823,0.62987,0.45961,1.50072,1.83503,2.21102,0.000244389,0.000244389,0.000244389
66,1302.96,0.58755,0.66276,1.10781,0.80887,0.49348,0.60922,0.43703,1.45749,2.03279,2.07739,0.000237785,0.000237785,0.000237785
67,1333.05,0.62578,0.67398,1.12835,0.67959,0.49915,0.57591,0.4313,1.45723,2.06118,2.05784,0.000231182,0.000231182,0.000231182
68,1362.3,0.57919,0.6534,1.10937,0.66053,0.5868,0.62659,0.46402,1.45945,1.9415,2.05725,0.000224579,0.000224579,0.000224579
69,1390.77,0.58895,0.63478,1.11219,0.71496,0.56606,0.601,0.44134,1.47163,2.01667,2.07163,0.000217976,0.000217976,0.000217976
70,1419.63,0.59019,0.63266,1.11481,0.5668,0.59522,0.62831,0.45439,1.47724,1.90791,2.1532,0.000211372,0.000211372,0.000211372
71,1450.22,0.57925,0.61075,1.09941,0.50007,0.63316,0.62737,0.4524,1.47806,2.01734,2.14491,0.000204769,0.000204769,0.000204769
72,1480.08,0.57,0.60326,1.09318,0.72069,0.56317,0.60277,0.43671,1.44486,1.99917,2.13115,0.000198166,0.000198166,0.000198166
73,1509.33,0.58594,0.60897,1.09986,0.57946,0.64744,0.64071,0.46701,1.49908,1.77036,2.17866,0.000191562,0.000191562,0.000191562
74,1538.25,0.54524,0.59436,1.09189,0.78099,0.51182,0.61441,0.44605,1.52715,1.8511,2.16175,0.000184959,0.000184959,0.000184959
75,1568.91,0.5667,0.59241,1.08935,0.8062,0.52931,0.61271,0.46159,1.46861,1.78466,2.12649,0.000178356,0.000178356,0.000178356
76,1598.33,0.55644,0.58878,1.08359,0.78845,0.56045,0.64147,0.46795,1.45259,1.79107,2.10907,0.000171752,0.000171752,0.000171752
77,1627.25,0.59056,0.60646,1.11052,0.68492,0.58822,0.62502,0.46643,1.52362,1.86817,2.21043,0.000165149,0.000165149,0.000165149
78,1659.11,0.54462,0.58098,1.08442,0.64853,0.53957,0.62715,0.46121,1.50343,1.89731,2.1946,0.000158546,0.000158546,0.000158546
79,1693.57,0.53536,0.57052,1.07696,0.57643,0.56563,0.62127,0.45468,1.48011,1.8931,2.15979,0.000151943,0.000151943,0.000151943
80,1728.46,0.54797,0.57626,1.0807,0.6149,0.5903,0.63235,0.46517,1.56355,1.91181,2.26761,0.000145339,0.000145339,0.000145339
81,1763.61,0.53998,0.58065,1.0869,0.57057,0.62598,0.60405,0.45339,1.49833,1.9628,2.1854,0.000138736,0.000138736,0.000138736
82,1799.35,0.52338,0.57107,1.07375,0.48062,0.60306,0.58898,0.44376,1.45017,1.92862,2.13357,0.000132133,0.000132133,0.000132133
83,1833.51,0.5327,0.56521,1.07123,0.73853,0.52926,0.60662,0.44085,1.47443,1.96296,2.1579,0.000125529,0.000125529,0.000125529
84,1868.48,0.54074,0.56373,1.08667,0.7848,0.55955,0.65185,0.47533,1.48763,1.90638,2.15649,0.000118926,0.000118926,0.000118926
85,1905.62,0.51039,0.56188,1.07197,0.69869,0.57484,0.65492,0.48968,1.45384,1.84732,2.10451,0.000112323,0.000112323,0.000112323
86,1943.31,0.54032,0.59426,1.08392,0.68067,0.55492,0.63902,0.47653,1.476,1.92182,2.09398,0.00010572,0.00010572,0.00010572
87,1977.73,0.52015,0.54791,1.05674,0.65465,0.56829,0.64267,0.47518,1.50594,1.92425,2.16481,9.91162e-05,9.91162e-05,9.91162e-05
88,2015.68,0.51426,0.55253,1.06629,0.71873,0.60729,0.68313,0.50823,1.46736,1.71569,2.13463,9.25129e-05,9.25129e-05,9.25129e-05
89,2065.89,0.51742,0.54755,1.05131,0.71345,0.59804,0.70061,0.52636,1.45307,1.61155,2.1543,8.59096e-05,8.59096e-05,8.59096e-05
90,2117.11,0.49908,0.53156,1.04603,0.72184,0.57795,0.6774,0.51542,1.46084,1.64126,2.1518,7.93063e-05,7.93063e-05,7.93063e-05
91,2167.8,0.43238,0.57459,1.01836,0.6854,0.55831,0.6502,0.48653,1.45591,1.85413,2.12963,7.2703e-05,7.2703e-05,7.2703e-05
92,2202.34,0.4192,0.53474,1.00726,0.70783,0.52137,0.62755,0.48355,1.45364,1.86671,2.13489,6.60997e-05,6.60997e-05,6.60997e-05
93,2258.62,0.42017,0.51511,1.02175,0.66113,0.61095,0.65931,0.49307,1.40771,1.8378,2.0756,5.94964e-05,5.94964e-05,5.94964e-05
94,2333.15,0.41253,0.50922,1.00345,0.66568,0.61913,0.66256,0.48553,1.41497,1.81719,2.06561,5.28931e-05,5.28931e-05,5.28931e-05
95,2399.45,0.39194,0.49626,0.98648,0.6739,0.60425,0.67316,0.49507,1.41947,1.77661,2.07568,4.62898e-05,4.62898e-05,4.62898e-05
96,2442.59,0.38648,0.48941,0.98944,0.70628,0.55177,0.67134,0.49602,1.38873,1.71949,2.0621,3.96865e-05,3.96865e-05,3.96865e-05
97,2528.94,0.40278,0.51561,1.00553,0.74436,0.53725,0.67427,0.51511,1.38489,1.69092,2.06463,3.30832e-05,3.30832e-05,3.30832e-05
98,2594.75,0.38289,0.48567,0.97568,0.65606,0.61581,0.67951,0.5238,1.39467,1.6827,2.06793,2.64799e-05,2.64799e-05,2.64799e-05
99,2632.01,0.365,0.46438,0.97339,0.67344,0.59895,0.68481,0.51172,1.40371,1.6938,2.08047,1.98766e-05,1.98766e-05,1.98766e-05
100,2683.43,0.37495,0.46553,0.97122,0.67941,0.60411,0.67458,0.50098,1.41101,1.72997,2.07377,1.32733e-05,1.32733e-05,1.32733e-05
